,used,exhausted,rounds,theor
2242,0,0,[],1
2631,0,0,[],4
1967,0,0,[],2
2018,0,0,[],1
2556,0,0,[],1
346,0,0,[],1
2753,0,0,[],1
1917,0,0,[],1
2098,0,0,[],4
2285,0,0,[],3
1483,0,0,[],1
2322,0,0,[],3
2424,0,0,[],1
565,0,0,[],3
36,0,0,[],1
1662,0,0,[],1
1270,0,0,[],3
1080,0,0,[],1
631,0,0,[],1
1028,0,0,[],1
439,0,0,[],1
2539,0,0,[],1
2802,0,0,[],2
698,0,0,[],1
2695,0,0,[],3
557,0,0,[],1
162,0,0,[],7
1598,0,0,[],1
1761,0,0,[],1
1998,0,0,[],2
2103,0,0,[],1
2469,0,0,[],2
1387,0,0,[],2
1962,0,0,[],1
2165,0,0,[],2
1083,0,0,[],3
546,0,0,[],1
1258,0,0,[],1
2087,0,0,[],1
787,0,0,[],1
111,0,0,[],1
1041,0,0,[],2
855,0,0,[],1
2504,0,0,[],1
1101,0,0,[],2
1465,0,0,[],2
140,0,0,[],7
1156,0,0,[],4
1300,0,0,[],4
2497,0,0,[],1
1803,0,0,[],4
1093,0,0,[],1
1077,0,0,[],4
838,0,0,[],1
1142,0,0,[],1
1930,0,0,[],2
1021,0,0,[],2
2512,0,0,[],2
2178,0,0,[],2
1272,0,0,[],2
832,0,0,[],3
2358,0,0,[],5
1789,0,0,[],5
778,0,0,[],3
639,0,0,[],3
335,0,0,[],2
2083,0,0,[],2
2709,0,0,[],2
2397,0,0,[],3
2506,0,0,[],1
7,0,0,[],4
443,0,0,[],3
327,0,0,[],1
1763,0,0,[],1
1585,0,0,[],2
1902,0,0,[],1
1623,0,0,[],1
622,0,0,[],4
2698,0,0,[],2
1012,0,0,[],1
2233,0,0,[],2
931,0,0,[],2
576,0,0,[],3
2258,0,0,[],1
2247,0,0,[],2
2237,0,0,[],3
398,0,0,[],1
93,0,0,[],3
1893,0,0,[],1
55,0,0,[],2
843,0,0,[],1
1333,0,0,[],2
572,0,0,[],2
1172,0,0,[],3
1634,0,0,[],1
2739,0,0,[],6
2128,0,0,[],2
125,0,0,[],1
1976,0,0,[],1
2355,0,0,[],2
1737,0,0,[],2
2445,0,0,[],1
169,0,0,[],5
513,0,0,[],5
2721,0,0,[],1
240,0,0,[],1
376,0,0,[],1
211,0,0,[],7
468,0,0,[],2
288,0,0,[],1
1900,0,0,[],1
1390,0,0,[],1
1681,0,0,[],2
2152,0,0,[],1
1649,0,0,[],2
993,0,0,[],1
1562,0,0,[],1
158,0,0,[],2
2403,0,0,[],1
449,0,0,[],2
1781,0,0,[],3
906,0,0,[],10
1111,0,0,[],1
2702,0,0,[],1
505,0,0,[],1
710,0,0,[],1
2106,0,0,[],5
1019,0,0,[],4
423,0,0,[],1
820,0,0,[],1
1667,0,0,[],1
2569,0,0,[],1
89,0,0,[],1
2177,0,0,[],3
1469,0,0,[],1
2362,0,0,[],1
2571,0,0,[],3
1703,0,0,[],1
2666,0,0,[],1
1039,0,0,[],1
1734,0,0,[],1
1252,0,0,[],2
12,0,0,[],2
216,0,0,[],1
2059,0,0,[],1
378,0,0,[],3
1757,0,0,[],1
702,0,0,[],1
2573,0,0,[],5
90,0,0,[],1
561,0,0,[],1
2356,0,0,[],1
1219,0,0,[],1
2499,0,0,[],1
970,0,0,[],2
2221,0,0,[],1
1553,0,0,[],1
1472,0,0,[],1
2450,0,0,[],1
822,0,0,[],10
404,0,0,[],1
1895,0,0,[],3
973,0,0,[],1
2115,0,0,[],1
2375,0,0,[],2
1611,0,0,[],1
2765,0,0,[],1
2597,0,0,[],5
736,0,0,[],1
580,0,0,[],2
1874,0,0,[],4
1519,0,0,[],2
1481,0,0,[],1
1314,0,0,[],3
925,0,0,[],2
2600,0,0,[],1
173,0,0,[],1
116,0,0,[],3
2062,0,0,[],1
88,0,0,[],2
1923,0,0,[],1
1433,0,0,[],2
1642,0,0,[],5
1277,0,0,[],1
2349,0,0,[],1
44,0,0,[],2
437,0,0,[],5
1017,0,0,[],6
1639,0,0,[],4
91,0,0,[],1
967,0,0,[],1
1106,0,0,[],5
852,0,0,[],2
2752,0,0,[],4
653,0,0,[],1
1894,0,0,[],3
1070,0,0,[],1
1454,0,0,[],5
1908,0,0,[],6
812,0,0,[],3
253,0,0,[],2
2393,0,0,[],1
1733,0,0,[],1
1945,0,0,[],2
524,0,0,[],3
339,0,0,[],1
1187,0,0,[],1
1636,0,0,[],1
182,0,0,[],3
2207,0,0,[],2
596,0,0,[],4
796,0,0,[],1
2536,0,0,[],2
394,0,0,[],2
747,0,0,[],1
1863,0,0,[],1
2422,0,0,[],1
608,0,0,[],3
2281,0,0,[],1
1345,0,0,[],1
144,0,0,[],3
953,0,0,[],1
2219,0,0,[],3
819,0,0,[],4
2352,0,0,[],2
817,0,0,[],1
1470,0,0,[],1
2663,0,0,[],3
1166,0,0,[],1
1961,0,0,[],1
418,0,0,[],1
2227,0,0,[],1
2188,0,0,[],2
2050,0,0,[],1
1718,0,0,[],2
1658,0,0,[],1
2172,0,0,[],1
460,0,0,[],1
1245,0,0,[],1
1004,0,0,[],2
2337,0,0,[],2
1173,0,0,[],1
1744,0,0,[],2
678,0,0,[],2
110,0,0,[],2
1103,0,0,[],1
2796,0,0,[],1
1756,0,0,[],6
2455,0,0,[],5
2798,0,0,[],3
373,0,0,[],1
1882,0,0,[],1
2218,0,0,[],2
1384,0,0,[],1
2471,0,0,[],1
2243,0,0,[],1
451,0,0,[],1
800,0,0,[],1
2717,0,0,[],2
1586,0,0,[],1
2483,0,0,[],1
2065,0,0,[],2
371,0,0,[],4
1338,0,0,[],2
569,0,0,[],1
1359,0,0,[],1
1330,0,0,[],2
1813,0,0,[],2
1000,0,0,[],1
206,0,0,[],2
549,0,0,[],1
1114,0,0,[],2
760,0,0,[],4
689,0,0,[],2
41,0,0,[],3
625,0,0,[],1
2046,0,0,[],4
2301,0,0,[],1
969,0,0,[],2
108,0,0,[],1
2161,0,0,[],4
304,0,0,[],2
531,0,0,[],1
2169,0,0,[],2
1557,0,0,[],1
370,0,0,[],2
2068,0,0,[],1
82,0,0,[],1
921,0,0,[],4
248,0,0,[],4
405,0,0,[],1
1342,0,0,[],1
167,0,0,[],5
2043,0,0,[],7
2582,0,0,[],1
1099,0,0,[],3
1898,0,0,[],1
1794,0,0,[],7
2494,0,0,[],5
1909,0,0,[],1
971,0,0,[],1
816,0,0,[],1
2377,0,0,[],2
959,0,0,[],2
1137,0,0,[],2
2374,0,0,[],1
1385,0,0,[],17
340,0,0,[],1
1020,0,0,[],1
163,0,0,[],3
2359,0,0,[],1
920,0,0,[],1
1188,0,0,[],1
1226,0,0,[],2
1821,0,0,[],3
1931,0,0,[],2
432,0,0,[],3
2289,0,0,[],2
1247,0,0,[],2
850,0,0,[],2
810,0,0,[],2
74,0,0,[],1
614,0,0,[],1
2196,0,0,[],4
2033,0,0,[],1
539,0,0,[],2
25,0,0,[],1
846,0,0,[],2
911,0,0,[],5
2680,0,0,[],2
2537,0,0,[],1
1139,0,0,[],1
2320,0,0,[],2
1631,0,0,[],1
1551,0,0,[],1
21,0,0,[],2
761,0,0,[],1
189,0,0,[],1
1200,0,0,[],1
263,0,0,[],3
813,0,0,[],1
2272,0,0,[],1
765,0,0,[],1
2069,0,0,[],2
2080,0,0,[],1
2708,0,0,[],2
2723,0,0,[],1
789,0,0,[],2
2340,0,0,[],1
2126,0,0,[],1
1030,0,0,[],1
1444,0,0,[],1
416,0,0,[],4
61,0,0,[],1
723,0,0,[],2
567,0,0,[],3
2224,0,0,[],4
438,0,0,[],4
3,0,0,[],1
875,0,0,[],4
571,0,0,[],4
84,0,0,[],3
1713,0,0,[],1
1010,0,0,[],3
2405,0,0,[],1
2291,0,0,[],3
2006,0,0,[],2
1997,0,0,[],5
415,0,0,[],2
1096,0,0,[],1
2558,0,0,[],1
2763,0,0,[],2
775,0,0,[],1
40,0,0,[],1
1547,0,0,[],2
2412,0,0,[],3
907,0,0,[],3
433,0,0,[],4
515,0,0,[],2
2651,0,0,[],3
989,0,0,[],1
1790,0,0,[],2
2086,0,0,[],2
385,0,0,[],1
1844,0,0,[],2
1100,0,0,[],2
2793,0,0,[],1
1362,0,0,[],1
1552,0,0,[],2
2275,0,0,[],1
2538,0,0,[],6
1911,0,0,[],1
941,0,0,[],3
338,0,0,[],2
1288,0,0,[],3
187,0,0,[],1
533,0,0,[],2
1699,0,0,[],1
1558,0,0,[],1
1740,0,0,[],1
1493,0,0,[],1
2294,0,0,[],2
642,0,0,[],3
2671,0,0,[],1
1940,0,0,[],1
854,0,0,[],7
1127,0,0,[],1
391,0,0,[],2
1487,0,0,[],1
919,0,0,[],1
1963,0,0,[],1
1430,0,0,[],1
1694,0,0,[],2
814,0,0,[],2
1843,0,0,[],1
2200,0,0,[],1
1310,0,0,[],3
297,0,0,[],2
1728,0,0,[],4
2330,0,0,[],3
1582,0,0,[],6
1210,0,0,[],2
427,0,0,[],1
958,0,0,[],3
359,0,0,[],1
1285,0,0,[],3
2201,0,0,[],2
2670,0,0,[],1
1087,0,0,[],1
290,0,0,[],3
1290,0,0,[],1
2462,0,0,[],3
2684,0,0,[],2
1168,0,0,[],1
873,0,0,[],2
2546,0,0,[],1
595,0,0,[],1
1339,0,0,[],2
1124,0,0,[],1
923,0,0,[],3
2305,0,0,[],3
217,0,0,[],4
97,0,0,[],5
30,0,0,[],1
1513,0,0,[],1
2005,0,0,[],3
1914,0,0,[],2
1221,0,0,[],3
2714,0,0,[],2
1884,0,0,[],1
619,0,0,[],1
1785,0,0,[],1
654,0,0,[],1
762,0,0,[],3
630,0,0,[],5
770,0,0,[],1
2030,0,0,[],1
519,0,0,[],2
2697,0,0,[],1
2502,0,0,[],1
624,0,0,[],1
1,0,0,[],1
2082,0,0,[],1
578,0,0,[],3
903,0,0,[],3
2203,0,0,[],1
1240,0,0,[],3
939,0,0,[],1
1674,0,0,[],2
456,0,0,[],5
1179,0,0,[],1
1705,0,0,[],5
1128,0,0,[],2
2468,0,0,[],1
1189,0,0,[],2
1892,0,0,[],1
2521,0,0,[],4
732,0,0,[],1
1806,0,0,[],3
1287,0,0,[],2
208,0,0,[],2
2452,0,0,[],1
20,0,0,[],2
2726,0,0,[],2
2309,0,0,[],1
2686,0,0,[],1
552,0,0,[],1
2279,0,0,[],2
2262,0,0,[],3
2647,0,0,[],1
2071,0,0,[],5
2432,0,0,[],1
692,0,0,[],3
704,0,0,[],1
999,0,0,[],1
1901,0,0,[],2
2389,0,0,[],1
31,0,0,[],1
112,0,0,[],2
2028,0,0,[],2
2205,0,0,[],2
86,0,0,[],4
1939,0,0,[],1
874,0,0,[],1
1644,0,0,[],1
665,0,0,[],1
1613,0,0,[],3
2602,0,0,[],1
1334,0,0,[],3
1685,0,0,[],1
946,0,0,[],2
428,0,0,[],4
1765,0,0,[],2
1404,0,0,[],4
465,0,0,[],1
611,0,0,[],1
1919,0,0,[],3
2354,0,0,[],1
450,0,0,[],1
1064,0,0,[],1
1169,0,0,[],1
1592,0,0,[],3
679,0,0,[],2
2084,0,0,[],3
847,0,0,[],7
950,0,0,[],1
2329,0,0,[],2
982,0,0,[],2
739,0,0,[],3
2238,0,0,[],1
2132,0,0,[],2
2095,0,0,[],1
2693,0,0,[],3
651,0,0,[],1
866,0,0,[],2
746,0,0,[],2
320,0,0,[],1
1153,0,0,[],4
1149,0,0,[],2
1323,0,0,[],1
1337,0,0,[],2
2777,0,0,[],1
54,0,0,[],2
1451,0,0,[],4
2460,0,0,[],2
1176,0,0,[],3
271,0,0,[],3
2129,0,0,[],1
289,0,0,[],2
849,0,0,[],1
407,0,0,[],9
1719,0,0,[],2
711,0,0,[],1
2657,0,0,[],4
506,0,0,[],1
2635,0,0,[],2
794,0,0,[],3
1068,0,0,[],2
2458,0,0,[],2
283,0,0,[],1
2159,0,0,[],1
145,0,0,[],4
2560,0,0,[],1
2716,0,0,[],2
677,0,0,[],2
1707,0,0,[],2
935,0,0,[],3
2327,0,0,[],3
1383,0,0,[],1
147,0,0,[],1
2336,0,0,[],4
656,0,0,[],3
2589,0,0,[],4
2116,0,0,[],2
688,0,0,[],3
2395,0,0,[],2
2691,0,0,[],1
2646,0,0,[],2
2260,0,0,[],4
1593,0,0,[],2
1818,0,0,[],1
2501,0,0,[],1
776,0,0,[],3
154,0,0,[],1
1542,0,0,[],2
1332,0,0,[],1
1205,0,0,[],2
131,0,0,[],2
729,0,0,[],1
251,0,0,[],4
2137,0,0,[],9
2234,0,0,[],4
2609,0,0,[],3
341,0,0,[],2
1394,0,0,[],1
686,0,0,[],1
915,0,0,[],1
2008,0,0,[],1
2628,0,0,[],1
507,0,0,[],5
888,0,0,[],2
1259,0,0,[],4
1959,0,0,[],2
409,0,0,[],3
629,0,0,[],2
1500,0,0,[],2
2522,0,0,[],4
927,0,0,[],1
2141,0,0,[],1
1978,0,0,[],1
1117,0,0,[],2
316,0,0,[],2
137,0,0,[],1
2074,0,0,[],4
1872,0,0,[],1
2577,0,0,[],3
2345,0,0,[],2
1960,0,0,[],3
1044,0,0,[],1
1002,0,0,[],1
815,0,0,[],2
1860,0,0,[],1
2250,0,0,[],2
239,0,0,[],1
138,0,0,[],2
985,0,0,[],2
2066,0,0,[],3
1051,0,0,[],2
1302,0,0,[],1
1596,0,0,[],2
402,0,0,[],3
2634,0,0,[],4
1628,0,0,[],2
1271,0,0,[],4
157,0,0,[],3
589,0,0,[],2
1973,0,0,[],3
1754,0,0,[],1
1920,0,0,[],2
2662,0,0,[],3
482,0,0,[],4
1431,0,0,[],2
1071,0,0,[],2
2655,0,0,[],3
664,0,0,[],1
806,0,0,[],4
1164,0,0,[],1
1084,0,0,[],1
2442,0,0,[],1
669,0,0,[],1
1129,0,0,[],3
2244,0,0,[],1
2627,0,0,[],1
886,0,0,[],3
1887,0,0,[],2
178,0,0,[],2
1423,0,0,[],2
1411,0,0,[],1
788,0,0,[],2
1655,0,0,[],1
1864,0,0,[],4
1357,0,0,[],1
2090,0,0,[],3
2191,0,0,[],3
644,0,0,[],1
2127,0,0,[],2
2385,0,0,[],5
286,0,0,[],2
117,0,0,[],1
2148,0,0,[],1
2308,0,0,[],3
1679,0,0,[],1
1447,0,0,[],1
2306,0,0,[],1
672,0,0,[],2
1119,0,0,[],3
1196,0,0,[],1
2559,0,0,[],1
1328,0,0,[],1
2190,0,0,[],2
1974,0,0,[],1
1163,0,0,[],7
1443,0,0,[],1
764,0,0,[],1
511,0,0,[],2
412,0,0,[],6
955,0,0,[],2
1788,0,0,[],1
2591,0,0,[],1
1246,0,0,[],1
2284,0,0,[],2
2151,0,0,[],1
2136,0,0,[],2
2215,0,0,[],1
1723,0,0,[],1
258,0,0,[],3
2029,0,0,[],2
2650,0,0,[],1
1485,0,0,[],3
254,0,0,[],2
699,0,0,[],1
2402,0,0,[],1
1800,0,0,[],2
2323,0,0,[],3
249,0,0,[],5
107,0,0,[],1
2614,0,0,[],2
890,0,0,[],2
2318,0,0,[],2
2249,0,0,[],3
1693,0,0,[],1
730,0,0,[],1
104,0,0,[],2
829,0,0,[],4
2778,0,0,[],1
1015,0,0,[],1
1086,0,0,[],1
772,0,0,[],4
1946,0,0,[],3
2361,0,0,[],4
72,0,0,[],2
2236,0,0,[],1
2144,0,0,[],1
741,0,0,[],1
461,0,0,[],1
2447,0,0,[],4
1521,0,0,[],2
671,0,0,[],1
393,0,0,[],2
2376,0,0,[],1
1546,0,0,[],1
1550,0,0,[],3
581,0,0,[],1
1234,0,0,[],2
1870,0,0,[],2
2319,0,0,[],3
365,0,0,[],1
2326,0,0,[],1
718,0,0,[],2
2718,0,0,[],3
2540,0,0,[],1
1366,0,0,[],5
1651,0,0,[],1
24,0,0,[],4
2519,0,0,[],4
2150,0,0,[],1
1438,0,0,[],1
2527,0,0,[],4
2696,0,0,[],3
834,0,0,[],2
541,0,0,[],2
733,0,0,[],3
593,0,0,[],1
180,0,0,[],2
177,0,0,[],2
1565,0,0,[],1
1993,0,0,[],1
1816,0,0,[],1
2259,0,0,[],2
1791,0,0,[],1
1670,0,0,[],2
734,0,0,[],1
46,0,0,[],8
1393,0,0,[],1
936,0,0,[],2
2371,0,0,[],1
805,0,0,[],1
968,0,0,[],1
2570,0,0,[],2
566,0,0,[],1
1353,0,0,[],1
1837,0,0,[],3
1750,0,0,[],2
475,0,0,[],2
725,0,0,[],1
1787,0,0,[],2
1578,0,0,[],3
1397,0,0,[],1
2785,0,0,[],3
1871,0,0,[],2
803,0,0,[],2
548,0,0,[],2
1348,0,0,[],4
1449,0,0,[],1
1293,0,0,[],3
2509,0,0,[],2
1878,0,0,[],3
1073,0,0,[],2
510,0,0,[],3
1375,0,0,[],1
1178,0,0,[],2
620,0,0,[],1
1275,0,0,[],1
1700,0,0,[],1
1515,0,0,[],3
545,0,0,[],5
99,0,0,[],2
2287,0,0,[],8
1610,0,0,[],1
2776,0,0,[],3
1632,0,0,[],2
2575,0,0,[],3
2387,0,0,[],4
1697,0,0,[],1
387,0,0,[],4
2672,0,0,[],1
602,0,0,[],5
2075,0,0,[],1
223,0,0,[],2
1267,0,0,[],3
2241,0,0,[],1
1381,0,0,[],3
315,0,0,[],3
1432,0,0,[],1
860,0,0,[],1
2703,0,0,[],2
2114,0,0,[],2
64,0,0,[],3
2751,0,0,[],4
579,0,0,[],1
1198,0,0,[],1
1335,0,0,[],1
96,0,0,[],4
2109,0,0,[],1
2268,0,0,[],2
344,0,0,[],1
2187,0,0,[],2
2459,0,0,[],3
229,0,0,[],1
1380,0,0,[],3
2180,0,0,[],1
2621,0,0,[],3
1286,0,0,[],2
859,0,0,[],1
1298,0,0,[],2
2419,0,0,[],2
1534,0,0,[],1
2441,0,0,[],2
2775,0,0,[],1
1793,0,0,[],3
1467,0,0,[],6
1461,0,0,[],3
912,0,0,[],1
1471,0,0,[],5
2443,0,0,[],2
1204,0,0,[],2
2104,0,0,[],4
94,0,0,[],5
2679,0,0,[],2
2197,0,0,[],1
914,0,0,[],1
1588,0,0,[],5
1409,0,0,[],1
2369,0,0,[],1
2611,0,0,[],3
2217,0,0,[],1
236,0,0,[],2
1775,0,0,[],1
2211,0,0,[],3
356,0,0,[],1
588,0,0,[],4
2120,0,0,[],1
981,0,0,[],3
1732,0,0,[],1
2545,0,0,[],2
1415,0,0,[],1
703,0,0,[],2
11,0,0,[],2
2713,0,0,[],1
1280,0,0,[],1
1865,0,0,[],4
50,0,0,[],1
1217,0,0,[],2
2277,0,0,[],2
156,0,0,[],3
2517,0,0,[],2
245,0,0,[],1
399,0,0,[],3
1725,0,0,[],1
2230,0,0,[],1
1780,0,0,[],1
525,0,0,[],1
2182,0,0,[],3
466,0,0,[],1
836,0,0,[],1
2642,0,0,[],3
2694,0,0,[],2
501,0,0,[],1
526,0,0,[],1
2493,0,0,[],4
267,0,0,[],1
186,0,0,[],3
1182,0,0,[],7
1986,0,0,[],2
300,0,0,[],1
1191,0,0,[],1
2346,0,0,[],1
1841,0,0,[],2
1014,0,0,[],1
1921,0,0,[],4
2758,0,0,[],1
1370,0,0,[],10
1289,0,0,[],1
2295,0,0,[],3
2590,0,0,[],6
1450,0,0,[],2
1426,0,0,[],3
172,0,0,[],3
1619,0,0,[],1
2637,0,0,[],2
334,0,0,[],1
2058,0,0,[],1
1197,0,0,[],6
2750,0,0,[],2
1266,0,0,[],1
2475,0,0,[],1
1904,0,0,[],1
896,0,0,[],2
2760,0,0,[],1
1480,0,0,[],1
1799,0,0,[],5
2464,0,0,[],1
1419,0,0,[],2
1031,0,0,[],1
204,0,0,[],4
811,0,0,[],1
2719,0,0,[],1
252,0,0,[],1
2149,0,0,[],5
470,0,0,[],3
122,0,0,[],1
2119,0,0,[],2
2034,0,0,[],1
2688,0,0,[],1
2701,0,0,[],2
1906,0,0,[],1
269,0,0,[],2
720,0,0,[],2
2790,0,0,[],1
118,0,0,[],1
1554,0,0,[],2
2192,0,0,[],2
280,0,0,[],1
45,0,0,[],3
1601,0,0,[],7
247,0,0,[],1
2555,0,0,[],1
2253,0,0,[],1
740,0,0,[],8
2348,0,0,[],1
1819,0,0,[],2
926,0,0,[],1
853,0,0,[],1
1122,0,0,[],2
2417,0,0,[],1
372,0,0,[],1
825,0,0,[],1
544,0,0,[],2
559,0,0,[],5
2529,0,0,[],3
1460,0,0,[],1
650,0,0,[],4
1600,0,0,[],3
2019,0,0,[],1
2624,0,0,[],1
2438,0,0,[],4
195,0,0,[],9
2477,0,0,[],4
1327,0,0,[],3
1238,0,0,[],1
716,0,0,[],2
417,0,0,[],3
2269,0,0,[],2
1445,0,0,[],2
322,0,0,[],2
627,0,0,[],2
1263,0,0,[],1
330,0,0,[],1
2773,0,0,[],3
658,0,0,[],3
2738,0,0,[],5
35,0,0,[],1
1866,0,0,[],1
1466,0,0,[],1
1839,0,0,[],3
934,0,0,[],1
780,0,0,[],2
1110,0,0,[],2
1008,0,0,[],2
726,0,0,[],1
1349,0,0,[],2
2784,0,0,[],3
795,0,0,[],1
2478,0,0,[],2
2511,0,0,[],2
60,0,0,[],1
374,0,0,[],2
1886,0,0,[],1
861,0,0,[],5
1268,0,0,[],2
604,0,0,[],1
2768,0,0,[],1
867,0,0,[],4
2325,0,0,[],1
2669,0,0,[],2
2799,0,0,[],1
1956,0,0,[],2
1276,0,0,[],2
403,0,0,[],1
1502,0,0,[],1
1006,0,0,[],2
1646,0,0,[],1
2588,0,0,[],2
1408,0,0,[],1
1768,0,0,[],3
1571,0,0,[],3
1862,0,0,[],1
1003,0,0,[],2
555,0,0,[],1
2107,0,0,[],5
657,0,0,[],1
2067,0,0,[],1
1913,0,0,[],1
219,0,0,[],1
562,0,0,[],1
414,0,0,[],3
1922,0,0,[],3
197,0,0,[],1
826,0,0,[],1
15,0,0,[],2
1185,0,0,[],1
530,0,0,[],1
102,0,0,[],1
1702,0,0,[],2
601,0,0,[],1
1820,0,0,[],3
948,0,0,[],4
1937,0,0,[],3
1437,0,0,[],2
2736,0,0,[],3
563,0,0,[],1
225,0,0,[],1
2488,0,0,[],2
1035,0,0,[],2
1736,0,0,[],2
2578,0,0,[],1
2668,0,0,[],1
1424,0,0,[],1
1982,0,0,[],3
1675,0,0,[],1
2246,0,0,[],4
1949,0,0,[],1
1564,0,0,[],1
215,0,0,[],3
2317,0,0,[],4
900,0,0,[],3
2772,0,0,[],5
2741,0,0,[],1
2629,0,0,[],3
2024,0,0,[],5
2762,0,0,[],1
1026,0,0,[],2
16,0,0,[],2
413,0,0,[],2
1213,0,0,[],1
149,0,0,[],1
1158,0,0,[],2
2189,0,0,[],1
1326,0,0,[],1
616,0,0,[],1
1989,0,0,[],2
1303,0,0,[],2
1603,0,0,[],4
1772,0,0,[],1
1645,0,0,[],4
1273,0,0,[],1
2092,0,0,[],1
1382,0,0,[],6
2725,0,0,[],5
2770,0,0,[],1
963,0,0,[],2
1540,0,0,[],3
2265,0,0,[],5
2596,0,0,[],2
2622,0,0,[],2
2031,0,0,[],2
1066,0,0,[],1
2113,0,0,[],1
2072,0,0,[],1
690,0,0,[],1
496,0,0,[],2
478,0,0,[],1
1570,0,0,[],2
1595,0,0,[],1
945,0,0,[],2
1227,0,0,[],1
756,0,0,[],1
135,0,0,[],1
2759,0,0,[],3
1206,0,0,[],2
1365,0,0,[],1
1055,0,0,[],1
1299,0,0,[],1
494,0,0,[],1
1995,0,0,[],3
684,0,0,[],2
1587,0,0,[],1
1053,0,0,[],2
1738,0,0,[],7
2416,0,0,[],1
2434,0,0,[],3
362,0,0,[],1
1455,0,0,[],11
1098,0,0,[],5
1814,0,0,[],2
119,0,0,[],1
2428,0,0,[],1
1777,0,0,[],1
1089,0,0,[],1
2788,0,0,[],4
1518,0,0,[],1
233,0,0,[],1
1401,0,0,[],1
1823,0,0,[],6
1464,0,0,[],1
2302,0,0,[],1
768,0,0,[],4
2550,0,0,[],5
564,0,0,[],3
560,0,0,[],2
2061,0,0,[],3
797,0,0,[],4
361,0,0,[],1
2632,0,0,[],1
1511,0,0,[],3
1977,0,0,[],2
1316,0,0,[],1
155,0,0,[],2
1498,0,0,[],1
2518,0,0,[],1
1063,0,0,[],2
1607,0,0,[],3
2757,0,0,[],1
1545,0,0,[],1
2167,0,0,[],2
2425,0,0,[],1
1022,0,0,[],1
1355,0,0,[],1
1659,0,0,[],1
1368,0,0,[],5
337,0,0,[],3
1306,0,0,[],7
1774,0,0,[],4
1561,0,0,[],2
1052,0,0,[],7
1832,0,0,[],1
880,0,0,[],2
1576,0,0,[],4
2212,0,0,[],2
188,0,0,[],1
2270,0,0,[],2
977,0,0,[],1
2604,0,0,[],1
159,0,0,[],1
26,0,0,[],2
1474,0,0,[],1
547,0,0,[],1
1503,0,0,[],1
504,0,0,[],1
773,0,0,[],3
2552,0,0,[],1
1752,0,0,[],1
1307,0,0,[],1
1113,0,0,[],1
1231,0,0,[],1
2226,0,0,[],4
1749,0,0,[],1
1257,0,0,[],1
57,0,0,[],6
352,0,0,[],5
380,0,0,[],4
408,0,0,[],2
1766,0,0,[],1
2276,0,0,[],1
1109,0,0,[],1
160,0,0,[],1
1047,0,0,[],2
898,0,0,[],1
1620,0,0,[],1
2292,0,0,[],1
916,0,0,[],1
1885,0,0,[],1
904,0,0,[],3
375,0,0,[],2
1597,0,0,[],3
214,0,0,[],1
2449,0,0,[],1
1605,0,0,[],5
543,0,0,[],1
2304,0,0,[],1
717,0,0,[],1
592,0,0,[],4
1392,0,0,[],1
2208,0,0,[],1
2045,0,0,[],1
174,0,0,[],2
1396,0,0,[],1
2139,0,0,[],4
1094,0,0,[],3
2508,0,0,[],2
2193,0,0,[],1
1846,0,0,[],5
262,0,0,[],1
1698,0,0,[],3
1567,0,0,[],1
2664,0,0,[],3
1650,0,0,[],1
243,0,0,[],6
1829,0,0,[],5
966,0,0,[],1
2240,0,0,[],1
2601,0,0,[],4
1297,0,0,[],2
2743,0,0,[],2
705,0,0,[],2
783,0,0,[],3
2791,0,0,[],1
317,0,0,[],1
2654,0,0,[],1
2592,0,0,[],1
2343,0,0,[],2
1692,0,0,[],4
1478,0,0,[],3
2486,0,0,[],1
1831,0,0,[],2
712,0,0,[],1
1520,0,0,[],3
2520,0,0,[],1
1265,0,0,[],1
1776,0,0,[],5
2002,0,0,[],1
687,0,0,[],2
498,0,0,[],1
1876,0,0,[],1
1194,0,0,[],1
431,0,0,[],2
1160,0,0,[],2
2525,0,0,[],1
879,0,0,[],5
2261,0,0,[],2
1097,0,0,[],3
584,0,0,[],2
1524,0,0,[],1
807,0,0,[],1
115,0,0,[],1
1079,0,0,[],1
106,0,0,[],3
1992,0,0,[],3
2580,0,0,[],1
2429,0,0,[],1
2470,0,0,[],1
2724,0,0,[],1
784,0,0,[],1
148,0,0,[],1
1283,0,0,[],3
918,0,0,[],1
1150,0,0,[],3
1177,0,0,[],4
974,0,0,[],1
1877,0,0,[],2
1965,0,0,[],7
883,0,0,[],4
426,0,0,[],3
2599,0,0,[],1
809,0,0,[],3
976,0,0,[],4
291,0,0,[],1
2341,0,0,[],1
1107,0,0,[],3
2003,0,0,[],1
2162,0,0,[],2
865,0,0,[],6
743,0,0,[],6
143,0,0,[],3
998,0,0,[],2
2060,0,0,[],2
2213,0,0,[],2
1233,0,0,[],1
2649,0,0,[],1
1743,0,0,[],7
1656,0,0,[],2
2297,0,0,[],3
261,0,0,[],2
1301,0,0,[],1
33,0,0,[],3
727,0,0,[],1
758,0,0,[],2
1566,0,0,[],2
980,0,0,[],2
2722,0,0,[],1
937,0,0,[],1
1145,0,0,[],3
2436,0,0,[],4
493,0,0,[],1
527,0,0,[],2
1836,0,0,[],4
2145,0,0,[],1
2735,0,0,[],2
962,0,0,[],1
194,0,0,[],1
185,0,0,[],1
2476,0,0,[],2
612,0,0,[],5
