,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty,fold1_variance,fold1_old_variance
78,"[747, 795, 621, 774, 792, 738, 626, 679]","[798, 126, 785, 794, 323, 210, 143, 692]","[575, 609, 647, 235, 448, 427, 222, 679]","[420, 393, 182, 739, 705, 399, 622, 702]","[387, 274, 696, 663, 460, 556, 703, 336]","[699, 598, 586, 623, 597, 643, 607, 674]","[612, 258, 773, 261, 573, 321, 299, 231]"
79,"[679, 747, 612, 626, 792, 399, 664, 761]","[798, 293, 134, 785, 210, 662, 683, 618]","[575, 42, 647, 235, 728, 611, 222, 679]","[420, 393, 182, 739, 705, 399, 622, 702]","[387, 274, 460, 696, 663, 556, 336, 497]","[573, 699, 623, 517, 749, 392, 237, 661]","[402, 531, 657, 409, 7, 240, 446, 612]"
80,"[719, 747, 593, 746, 56, 425, 626, 796]","[798, 222, 210, 293, 621, 701, 515, 753]","[575, 42, 647, 235, 728, 611, 222, 679]","[393, 739, 399, 516, 425, 420, 415, 397]","[387, 274, 460, 696, 663, 497, 741, 548]","[661, 625, 422, 541, 745, 573, 436, 507]","[321, 299, 483, 446, 621, 793, 774, 736]"
81,"[593, 242, 765, 703, 626, 792, 738, 769]","[210, 467, 798, 222, 515, 242, 615, 688]","[575, 648, 647, 235, 576, 429, 80, 679]","[622, 393, 399, 575, 739, 714, 514, 516]","[274, 387, 460, 663, 548, 199, 349, 424]","[661, 573, 400, 424, 26, 607, 226, 480]","[483, 534, 115, 470, 754, 720, 765, 612]"
82,"[399, 609, 593, 755, 763, 626, 617, 703]","[771, 618, 515, 621, 210, 792, 437, 721]","[575, 648, 647, 235, 230, 11, 80, 679]","[622, 333, 399, 575, 304, 514, 441, 415]","[348, 503, 469, 460, 235, 741, 250, 387]","[661, 400, 573, 607, 726, 86, 26, 232]","[765, 321, 612, 685, 483, 480, 757, 793]"
83,"[626, 763, 755, 467, 593, 399, 769, 683]","[634, 792, 210, 515, 556, 753, 771, 242]","[201, 688, 477, 687, 323, 377, 195, 659]","[622, 575, 514, 739, 304, 143, 634, 288]","[548, 503, 387, 489, 352, 348, 424, 603]","[661, 573, 607, 232, 236, 217, 312, 284]","[446, 321, 765, 483, 480, 436, 534, 346]"
84,"[626, 333, 721, 535, 399, 405, 763, 593]","[634, 210, 753, 515, 648, 353, 67, 618]","[165, 714, 477, 687, 767, 682, 649, 78]","[622, 720, 655, 619, 514, 741, 304, 672]","[522, 362, 348, 548, 258, 192, 371, 617]","[661, 232, 607, 436, 573, 297, 623, 423]","[321, 765, 757, 681, 607, 793, 661, 624]"
85,"[626, 792, 535, 321, 456, 563, 575, 782]","[634, 553, 616, 786, 779, 563, 793, 596]","[165, 738, 477, 687, 296, 300, 649, 78]","[622, 514, 575, 655, 720, 378, 741, 270]","[200, 460, 101, 149, 492, 522, 189, 741]","[707, 573, 527, 687, 436, 762, 232, 521]","[321, 299, 765, 470, 534, 392, 407, 409]"
86,"[456, 321, 792, 504, 598, 575, 446, 514]","[634, 648, 621, 679, 618, 488, 674, 353]","[165, 738, 477, 687, 48, 514, 649, 78]","[622, 514, 720, 741, 199, 575, 143, 661]","[617, 348, 492, 200, 322, 215, 522, 349]","[227, 261, 231, 507, 573, 223, 413, 276]","[321, 299, 470, 765, 661, 487, 611, 757]"
87,"[598, 792, 456, 615, 614, 680, 551, 778]","[679, 634, 621, 467, 632, 792, 683, 553]","[165, 738, 477, 687, 356, 514, 649, 78]","[425, 453, 516, 415, 547, 469, 378, 270]","[548, 348, 654, 322, 509, 741, 704, 274]","[267, 208, 507, 573, 400, 607, 261, 231]","[321, 350, 765, 482, 299, 470, 683, 772]"
88,"[456, 248, 366, 395, 375, 321, 793, 792]","[634, 553, 621, 679, 569, 403, 355, 683]","[165, 621, 477, 687, 158, 150, 649, 78]","[371, 601, 305, 661, 599, 182, 430, 589]","[704, 720, 705, 741, 708, 322, 468, 274]","[507, 573, 400, 607, 785, 645, 578, 364]","[482, 295, 321, 362, 427, 470, 765, 436]"
89,"[395, 47, 542, 565, 373, 569, 575, 793]","[634, 780, 621, 679, 685, 595, 775, 683]","[272, 0, 189, 288, 393, 792, 758, 709]","[320, 597, 589, 378, 720, 741, 494, 513]","[322, 741, 310, 652, 720, 348, 250, 320]","[573, 645, 400, 771, 598, 407, 436, 623]","[321, 482, 794, 299, 470, 765, 707, 606]"
90,"[575, 395, 766, 703, 456, 763, 773, 514]","[735, 634, 569, 713, 616, 582, 462, 377]","[177, 550, 314, 240, 312, 567, 362, 15]","[720, 113, 454, 637, 182, 219, 597, 609]","[641, 705, 310, 741, 704, 652, 460, 720]","[645, 400, 546, 527, 592, 681, 623, 628]","[321, 482, 470, 26, 572, 573, 661, 759]"
91,"[766, 703, 575, 680, 514, 535, 763, 456]","[634, 569, 582, 671, 616, 594, 747, 735]","[211, 497, 710, 411, 595, 746, 115, 523]","[182, 219, 305, 720, 511, 401, 512, 741]","[667, 711, 642, 704, 641, 677, 635, 274]","[400, 546, 599, 190, 129, 132, 364, 371]","[482, 661, 470, 757, 572, 606, 552, 409]"
92,"[703, 792, 395, 763, 680, 587, 787, 568]","[394, 594, 626, 569, 390, 747, 634, 582]","[238, 471, 710, 411, 516, 155, 335, 421]","[528, 305, 369, 182, 19, 414, 720, 273]","[420, 609, 741, 714, 720, 562, 672, 703]","[400, 599, 785, 123, 436, 483, 129, 631]","[480, 466, 578, 442, 573, 220, 299, 26]"
93,"[703, 416, 149, 555, 724, 796, 200, 793]","[590, 780, 747, 781, 617, 719, 425, 556]","[685, 424, 120, 788, 10, 260, 422, 330]","[273, 636, 242, 303, 556, 720, 305, 529]","[490, 703, 720, 274, 248, 741, 235, 727]","[400, 599, 711, 333, 649, 546, 325, 453]","[661, 436, 573, 768, 409, 92, 461, 578]"
94,"[703, 763, 720, 568, 55, 395, 348, 431]","[626, 679, 751, 582, 615, 779, 780, 792]","[30, 333, 120, 788, 500, 447, 338, 464]","[720, 29, 741, 524, 415, 400, 541, 293]","[274, 490, 703, 651, 248, 614, 572, 460]","[400, 599, 436, 544, 591, 258, 298, 753]","[573, 724, 527, 661, 572, 792, 621, 757]"
95,"[598, 555, 724, 130, 38, 19, 547, 535]","[769, 728, 364, 788, 325, 460, 616, 749]","[30, 333, 120, 788, 612, 447, 338, 464]","[720, 741, 286, 636, 713, 225, 597, 462]","[424, 248, 617, 703, 274, 614, 320, 310]","[400, 546, 543, 569, 436, 319, 599, 515]","[573, 661, 527, 578, 408, 757, 411, 621]"
96,"[555, 149, 703, 535, 23, 780, 387, 121]","[769, 439, 460, 749, 571, 361, 353, 764]","[34, 423, 172, 741, 455, 717, 224, 197]","[225, 533, 169, 720, 741, 378, 561, 422]","[703, 424, 617, 503, 274, 310, 235, 727]","[400, 546, 644, 501, 776, 549, 137, 437]","[278, 792, 409, 615, 573, 672, 4, 578]"
97,"[703, 555, 689, 387, 362, 677, 149, 796]","[747, 353, 631, 792, 626, 439, 582, 460]","[346, 370, 172, 741, 737, 12, 42, 299]","[460, 720, 476, 233, 264, 597, 638, 513]","[274, 320, 424, 215, 614, 634, 727, 572]","[546, 400, 785, 436, 628, 482, 599, 724]","[624, 573, 646, 409, 527, 528, 578, 436]"
98,"[555, 689, 575, 535, 17, 149, 703, 431]","[626, 631, 792, 747, 590, 558, 582, 439]","[539, 403, 172, 741, 755, 728, 648, 752]","[741, 597, 641, 213, 446, 696, 603, 364]","[651, 672, 310, 274, 424, 614, 634, 639]","[546, 400, 785, 436, 527, 739, 599, 585]","[624, 409, 573, 755, 687, 528, 332, 538]"
99,"[703, 82, 20, 583, 431, 680, 537, 535]","[626, 582, 747, 569, 556, 377, 590, 631]","[539, 403, 172, 741, 379, 576, 648, 752]","[741, 476, 641, 597, 244, 575, 652, 696]","[310, 672, 639, 651, 288, 614, 503, 572]","[400, 785, 436, 546, 599, 519, 792, 746]","[573, 278, 560, 624, 527, 409, 480, 626]"
100,"[727, 651, 562, 413, 566, 639, 668, 586]","[626, 740, 733, 460, 715, 547, 781, 711]","[174, 207, 172, 741, 457, 794, 688, 571]","[628, 741, 617, 634, 280, 538, 324, 603]","[639, 672, 310, 634, 143, 534, 614, 572]","[785, 546, 599, 436, 644, 264, 792, 229]","[624, 278, 612, 364, 542, 779, 480, 602]"
101,"[409, 322, 334, 489, 466, 680, 387, 473]","[635, 551, 613, 561, 556, 597, 792, 696]","[196, 31, 172, 741, 782, 386, 0, 501]","[636, 599, 741, 634, 617, 614, 572, 536]","[572, 310, 614, 639, 634, 290, 288, 672]","[785, 599, 681, 436, 427, 117, 536, 529]","[278, 299, 792, 624, 279, 480, 626, 170]"
102,"[726, 64, 240, 149, 634, 302, 562, 692]","[556, 779, 790, 510, 792, 247, 728, 775]","[196, 774, 172, 741, 255, 356, 119, 501]","[741, 572, 636, 657, 634, 599, 614, 617]","[572, 614, 310, 639, 634, 288, 290, 672]","[496, 689, 266, 258, 261, 599, 53, 313]","[624, 792, 278, 346, 409, 560, 638, 436]"
103,"[310, 149, 547, 490, 44, 525, 404, 215]","[273, 758, 792, 565, 755, 790, 405, 787]","[99, 202, 172, 741, 545, 92, 522, 652]","[741, 572, 634, 636, 614, 560, 247, 415]","[572, 614, 310, 639, 288, 290, 85, 634]","[496, 725, 266, 785, 614, 397, 576, 571]","[624, 792, 346, 409, 436, 725, 560, 689]"
104,"[702, 655, 599, 404, 619, 561, 739, 15]","[782, 755, 626, 758, 779, 795, 796, 629]","[99, 202, 172, 741, 545, 92, 522, 652]","[741, 572, 636, 634, 614, 476, 560, 580]","[634, 697, 288, 639, 85, 416, 651, 290]","[496, 785, 725, 750, 763, 708, 644, 739]","[725, 436, 409, 624, 781, 278, 346, 792]"
105,"[257, 149, 726, 490, 503, 310, 248, 535]","[779, 568, 460, 626, 738, 721, 774, 542]","[99, 202, 172, 741, 545, 92, 522, 652]","[741, 607, 580, 634, 636, 572, 538, 224]","[288, 85, 651, 639, 143, 416, 553, 634]","[785, 496, 559, 55, 614, 90, 537, 479]","[725, 346, 436, 278, 687, 755, 227, 480]"
106,"[726, 149, 503, 285, 642, 290, 293, 248]","[738, 626, 786, 353, 631, 778, 403, 792]","[99, 202, 172, 741, 281, 312, 522, 652]","[580, 636, 572, 634, 538, 607, 614, 672]","[553, 288, 639, 540, 143, 593, 520, 651]","[496, 785, 687, 38, 564, 20, 761, 754]","[480, 464, 436, 687, 578, 763, 278, 511]"
107,"[704, 646, 285, 654, 652, 663, 377, 147]","[738, 635, 792, 786, 626, 758, 456, 273]","[80, 513, 172, 741, 311, 595, 497, 2]","[580, 636, 572, 538, 407, 614, 501, 599]","[467, 543, 604, 639, 288, 272, 651, 540]","[496, 672, 614, 576, 754, 518, 793, 479]","[278, 436, 578, 772, 464, 480, 574, 264]"
108,"[285, 720, 636, 789, 755, 310, 614, 482]","[626, 696, 786, 758, 456, 755, 273, 403]","[80, 513, 172, 741, 574, 516, 497, 2]","[580, 614, 498, 538, 529, 746, 467, 476]","[634, 639, 272, 540, 476, 288, 724, 168]","[496, 698, 479, 585, 525, 754, 526, 793]","[793, 278, 436, 399, 378, 755, 578, 329]"
109,"[285, 504, 310, 394, 264, 789, 775, 636]","[696, 626, 541, 776, 273, 535, 758, 403]","[729, 616, 172, 741, 69, 149, 127, 2]","[508, 550, 614, 467, 607, 491, 450, 556]","[553, 627, 219, 634, 288, 639, 724, 351]","[496, 479, 501, 508, 505, 566, 793, 609]","[278, 250, 755, 123, 362, 168, 399, 181]"
110,"[789, 274, 681, 29, 210, 7, 310, 675]","[626, 353, 535, 439, 327, 796, 273, 556]","[195, 496, 172, 741, 62, 65, 368, 2]","[538, 486, 617, 508, 555, 387, 607, 556]","[288, 651, 553, 462, 799, 724, 219, 639]","[499, 605, 561, 566, 459, 575, 505, 496]","[168, 612, 264, 438, 772, 299, 399, 362]"
111,"[541, 741, 718, 274, 503, 199, 562, 560]","[626, 535, 530, 613, 273, 514, 696, 401]","[195, 67, 172, 741, 553, 624, 368, 2]","[617, 555, 536, 529, 508, 517, 108, 436]","[639, 288, 393, 651, 464, 563, 476, 776]","[566, 505, 496, 605, 728, 644, 558, 793]","[399, 436, 755, 792, 168, 707, 612, 264]"
112,"[503, 789, 493, 213, 575, 528, 147, 273]","[556, 696, 739, 712, 293, 611, 796, 631]","[758, 759, 172, 799, 205, 719, 424, 129]","[555, 617, 222, 508, 607, 422, 666, 476]","[563, 639, 393, 462, 776, 352, 416, 163]","[785, 605, 496, 566, 722, 762, 505, 708]","[436, 792, 399, 707, 772, 411, 612, 538]"
113,"[562, 780, 274, 147, 704, 733, 503, 238]","[556, 696, 143, 561, 776, 581, 614, 712]","[556, 757, 172, 511, 39, 737, 333, 169]","[555, 401, 9, 515, 75, 561, 510, 213]","[528, 452, 416, 462, 776, 393, 733, 720]","[605, 566, 496, 668, 522, 476, 762, 420]","[436, 792, 399, 612, 427, 578, 772, 538]"
114,"[263, 203, 211, 255, 220, 162, 171, 177]","[631, 556, 696, 373, 712, 590, 796, 273]","[362, 412, 265, 227, 24, 379, 117, 506]","[75, 555, 497, 428, 515, 247, 213, 561]","[733, 452, 395, 361, 416, 790, 666, 569]","[605, 496, 566, 347, 708, 54, 480, 669]","[313, 264, 436, 438, 703, 538, 168, 440]"
115,"[689, 144, 79, 569, 174, 211, 562, 139]","[556, 460, 696, 631, 213, 581, 707, 504]","[735, 35, 405, 740, 97, 60, 370, 409]","[415, 33, 107, 54, 278, 591, 440, 75]","[733, 452, 464, 666, 790, 486, 759, 416]","[605, 566, 750, 718, 352, 266, 593, 506]","[428, 556, 452, 400, 654, 168, 767, 707]"
116,"[689, 575, 663, 274, 503, 403, 708, 569]","[611, 590, 78, 763, 766, 776, 696, 334]","[115, 725, 405, 740, 329, 457, 403, 409]","[415, 493, 278, 575, 620, 230, 486, 307]","[464, 666, 733, 364, 452, 416, 622, 393]","[566, 524, 708, 593, 771, 480, 615, 478]","[767, 129, 519, 400, 612, 168, 792, 551]"
117,"[534, 521, 448, 274, 429, 780, 575, 177]","[712, 763, 575, 696, 631, 82, 460, 705]","[442, 715, 696, 503, 518, 241, 207, 697]","[415, 107, 278, 651, 147, 60, 508, 157]","[464, 393, 364, 462, 520, 759, 416, 720]","[566, 593, 532, 793, 708, 266, 505, 687]","[240, 168, 792, 762, 767, 400, 707, 193]"
118,"[535, 274, 722, 613, 655, 789, 514, 628]","[763, 766, 631, 737, 153, 696, 460, 712]","[442, 715, 696, 503, 518, 241, 207, 697]","[415, 508, 278, 387, 575, 147, 9, 108]","[464, 364, 393, 629, 536, 759, 419, 416]","[566, 372, 593, 708, 4, 721, 684, 557]","[168, 571, 767, 400, 556, 792, 496, 428]"
119,"[636, 622, 516, 533, 514, 601, 671, 403]","[737, 438, 581, 765, 788, 273, 763, 419]","[350, 459, 696, 503, 608, 234, 181, 697]","[415, 278, 89, 522, 387, 308, 575, 177]","[569, 629, 464, 416, 466, 759, 622, 652]","[567, 600, 550, 640, 593, 581, 542, 213]","[400, 168, 556, 428, 507, 762, 496, 728]"
120,"[622, 419, 426, 636, 453, 488, 572, 556]","[788, 758, 631, 460, 78, 273, 761, 703]","[350, 1, 696, 503, 488, 255, 23, 697]","[372, 591, 409, 518, 520, 440, 507, 212]","[464, 759, 466, 416, 538, 622, 448, 163]","[622, 700, 678, 532, 692, 489, 594, 587]","[767, 168, 507, 707, 762, 792, 496, 355]"
121,"[169, 622, 476, 428, 570, 460, 494, 552]","[631, 788, 273, 763, 590, 752, 774, 514]","[350, 445, 696, 503, 791, 449, 142, 697]","[502, 525, 177, 507, 310, 223, 476, 139]","[464, 622, 416, 393, 476, 105, 771, 665]","[418, 425, 416, 662, 656, 216, 764, 106]","[507, 400, 168, 649, 424, 401, 496, 510]"
122,"[622, 661, 387, 564, 274, 59, 700, 789]","[763, 752, 555, 460, 589, 631, 740, 456]","[350, 631, 696, 503, 534, 95, 590, 697]","[557, 522, 310, 525, 438, 174, 416, 223]","[622, 771, 393, 476, 416, 464, 652, 371]","[88, 581, 418, 693, 704, 266, 563, 399]","[168, 496, 442, 377, 767, 88, 264, 510]"
123,"[564, 108, 476, 471, 474, 274, 622, 169]","[555, 763, 688, 78, 702, 725, 397, 624]","[422, 4, 696, 503, 327, 545, 769, 697]","[525, 522, 223, 310, 215, 346, 336, 430]","[476, 464, 333, 325, 720, 622, 260, 711]","[669, 266, 708, 581, 191, 771, 234, 725]","[400, 792, 496, 725, 458, 703, 168, 51]"
124,"[274, 474, 224, 538, 622, 387, 340, 685]","[555, 666, 702, 98, 56, 591, 732, 691]","[338, 91, 696, 503, 551, 390, 513, 697]","[110, 103, 310, 215, 200, 195, 96, 35]","[476, 333, 441, 520, 622, 668, 464, 169]","[266, 708, 669, 362, 258, 428, 603, 725]","[264, 496, 792, 400, 411, 379, 129, 458]"
125,"[622, 690, 661, 474, 274, 538, 700, 536]","[763, 694, 703, 714, 727, 682, 440, 706]","[42, 473, 696, 569, 594, 311, 67, 376]","[525, 215, 310, 387, 476, 522, 16, 619]","[416, 622, 476, 327, 296, 567, 333, 407]","[708, 266, 412, 462, 568, 569, 399, 56]","[792, 507, 496, 168, 379, 666, 389, 517]"
126,"[663, 622, 518, 274, 474, 538, 529, 700]","[763, 535, 386, 225, 590, 399, 555, 611]","[42, 473, 696, 569, 594, 311, 67, 376]","[525, 215, 310, 522, 476, 479, 387, 55]","[476, 416, 567, 333, 486, 182, 377, 169]","[640, 601, 708, 789, 416, 266, 62, 429]","[496, 747, 400, 792, 379, 521, 458, 168]"
127,"[323, 612, 45, 384, 663, 538, 796, 639]","[763, 535, 78, 649, 590, 399, 386, 611]","[42, 727, 696, 569, 533, 574, 583, 376]","[525, 215, 310, 183, 387, 522, 476, 20]","[515, 720, 207, 622, 476, 525, 569, 373]","[4, 708, 397, 175, 772, 793, 732, 551]","[747, 497, 496, 400, 507, 768, 195, 379]"
128,"[323, 663, 790, 16, 724, 405, 4, 443]","[535, 78, 649, 703, 556, 456, 590, 399]","[743, 579, 674, 768, 310, 62, 757, 749]","[215, 310, 522, 476, 510, 508, 172, 349]","[720, 333, 416, 515, 622, 476, 525, 635]","[416, 708, 266, 732, 4, 455, 258, 377]","[379, 747, 761, 496, 400, 129, 497, 556]"
129,"[274, 4, 323, 622, 663, 721, 724, 326]","[535, 649, 703, 556, 456, 710, 574, 688]","[743, 441, 674, 768, 340, 345, 412, 749]","[310, 507, 173, 508, 477, 82, 520, 419]","[394, 569, 333, 622, 207, 782, 720, 210]","[397, 708, 416, 15, 732, 117, 258, 551]","[761, 400, 379, 497, 556, 494, 397, 455]"
130,"[274, 4, 379, 323, 724, 759, 639, 622]","[703, 535, 649, 574, 456, 688, 422, 558]","[743, 122, 674, 768, 669, 553, 35, 749]","[310, 508, 419, 520, 507, 522, 506, 428]","[622, 569, 427, 394, 349, 210, 761, 235]","[4, 728, 732, 416, 298, 480, 708, 309]","[400, 747, 496, 762, 379, 497, 768, 4]"
131,"[4, 274, 538, 548, 701, 420, 724, 622]","[460, 703, 649, 590, 394, 386, 775, 43]","[621, 692, 674, 768, 642, 76, 156, 749]","[310, 536, 419, 507, 11, 404, 480, 522]","[569, 427, 394, 235, 260, 493, 409, 719]","[115, 397, 328, 100, 240, 195, 4, 732]","[411, 496, 768, 397, 747, 448, 97, 762]"
132,"[274, 4, 683, 639, 538, 561, 573, 663]","[394, 460, 740, 703, 535, 649, 581, 715]","[522, 96, 475, 274, 45, 258, 715, 672]","[522, 310, 419, 450, 550, 668, 404, 372]","[569, 792, 414, 206, 331, 308, 122, 720]","[328, 335, 732, 205, 195, 719, 274, 65]","[397, 768, 129, 762, 428, 400, 747, 591]"
133,"[4, 639, 622, 677, 538, 574, 441, 663]","[574, 740, 703, 649, 394, 386, 84, 535]","[522, 3, 475, 274, 94, 675, 715, 672]","[310, 506, 583, 522, 144, 364, 260, 450]","[467, 122, 207, 323, 409, 471, 724, 720]","[719, 694, 589, 655, 408, 480, 681, 551]","[397, 768, 526, 400, 428, 703, 226, 591]"
134,"[498, 486, 4, 350, 550, 247, 580, 639]","[74, 314, 392, 703, 649, 740, 575, 739]","[522, 3, 475, 274, 94, 675, 715, 672]","[387, 310, 487, 361, 505, 507, 497, 506]","[314, 210, 207, 122, 47, 565, 534, 397]","[719, 480, 551, 332, 172, 511, 524, 705]","[397, 400, 768, 494, 517, 725, 497, 657]"
135,"[639, 741, 720, 580, 582, 548, 331, 663]","[575, 74, 361, 649, 685, 143, 574, 611]","[522, 16, 475, 274, 628, 24, 715, 672]","[310, 387, 487, 506, 97, 226, 394, 11]","[210, 207, 199, 349, 153, 724, 47, 746]","[719, 498, 726, 440, 397, 793, 328, 265]","[397, 400, 768, 464, 438, 494, 602, 657]"
136,"[580, 639, 720, 582, 636, 741, 607, 161]","[575, 361, 649, 589, 582, 514, 689, 535]","[522, 16, 475, 274, 324, 97, 715, 672]","[504, 406, 310, 387, 344, 412, 428, 435]","[207, 746, 210, 199, 697, 662, 378, 522]","[195, 719, 335, 205, 193, 265, 399, 266]","[768, 400, 397, 657, 726, 705, 591, 662]"
137,"[639, 720, 663, 179, 715, 580, 283, 569]","[575, 649, 74, 740, 689, 361, 153, 399]","[522, 462, 475, 274, 161, 742, 459, 672]","[488, 361, 171, 263, 310, 203, 226, 428]","[210, 199, 746, 222, 242, 697, 190, 217]","[205, 195, 160, 551, 265, 335, 399, 494]","[397, 520, 468, 450, 591, 541, 536, 283]"
138,"[639, 580, 663, 753, 89, 26, 700, 666]","[649, 740, 575, 361, 245, 703, 715, 574]","[127, 427, 475, 274, 667, 250, 445, 419]","[310, 460, 429, 428, 435, 361, 226, 131]","[210, 746, 486, 435, 662, 199, 260, 529]","[195, 265, 628, 117, 399, 551, 205, 335]","[397, 168, 768, 662, 656, 643, 726, 764]"
139,"[639, 560, 720, 569, 657, 692, 525, 558]","[649, 440, 575, 405, 245, 132, 399, 703]","[368, 11, 712, 733, 223, 608, 631, 134]","[328, 373, 387, 238, 507, 494, 435, 694]","[746, 662, 199, 260, 697, 160, 435, 222]","[195, 156, 238, 608, 265, 628, 551, 275]","[397, 728, 168, 428, 703, 574, 657, 332]"
140,"[639, 663, 48, 720, 636, 11, 688, 741]","[555, 322, 587, 362, 285, 409, 440, 387]","[385, 349, 712, 104, 636, 75, 4, 348]","[460, 497, 226, 651, 446, 513, 387, 507]","[662, 435, 199, 355, 242, 697, 624, 47]","[161, 254, 199, 386, 727, 459, 156, 519]","[428, 747, 728, 643, 529, 725, 442, 657]"
141,"[720, 639, 663, 641, 501, 508, 11, 636]","[575, 639, 611, 521, 765, 672, 775, 225]","[385, 349, 712, 104, 636, 75, 4, 348]","[226, 446, 235, 484, 570, 387, 361, 494]","[456, 506, 199, 47, 397, 471, 522, 697]","[309, 161, 283, 210, 320, 704, 22, 399]","[227, 728, 413, 442, 117, 747, 651, 652]"
142,"[104, 639, 720, 508, 636, 654, 343, 11]","[582, 575, 639, 775, 361, 566, 664, 672]","[424, 377, 712, 701, 504, 498, 91, 408]","[507, 387, 226, 465, 442, 382, 511, 277]","[456, 199, 506, 143, 397, 522, 242, 474]","[161, 309, 438, 581, 784, 283, 266, 82]","[710, 428, 747, 614, 713, 413, 728, 227]"
143,"[639, 636, 569, 720, 650, 30, 688, 722]","[572, 514, 614, 622, 655, 20, 426, 603]","[424, 377, 712, 701, 510, 534, 91, 408]","[322, 101, 285, 150, 403, 411, 22, 268]","[456, 199, 506, 697, 143, 438, 513, 414]","[618, 665, 500, 695, 493, 701, 723, 653]","[428, 361, 413, 423, 747, 309, 320, 527]"
144,"[283, 639, 603, 677, 641, 781, 720, 491]","[655, 739, 622, 740, 149, 143, 504, 199]","[333, 21, 256, 524, 123, 438, 479, 175]","[47, 131, 311, 343, 285, 9, 486, 462]","[438, 456, 199, 506, 697, 414, 504, 459]","[665, 793, 309, 135, 397, 597, 416, 628]","[728, 325, 296, 497, 614, 646, 428, 598]"
145,"[639, 424, 113, 397, 172, 105, 720, 603]","[619, 420, 739, 661, 385, 589, 490, 597]","[333, 21, 256, 524, 123, 438, 479, 175]","[307, 11, 33, 133, 285, 394, 244, 322]","[456, 199, 506, 414, 515, 697, 429, 538]","[665, 793, 397, 653, 187, 773, 309, 784]","[728, 428, 413, 473, 614, 442, 517, 497]"
146,"[572, 720, 624, 739, 259, 634, 741, 47]","[601, 599, 597, 561, 629, 739, 661, 143]","[333, 21, 256, 524, 677, 9, 479, 175]","[88, 427, 245, 347, 569, 493, 441, 394]","[504, 344, 414, 403, 524, 349, 522, 450]","[665, 397, 309, 416, 793, 653, 459, 297]","[479, 747, 711, 521, 708, 750, 560, 719]"
147,"[691, 720, 572, 739, 702, 741, 520, 244]","[597, 561, 126, 622, 238, 704, 361, 514]","[117, 514, 256, 524, 166, 655, 473, 440]","[569, 427, 629, 380, 21, 497, 107, 11]","[361, 395, 488, 406, 412, 449, 394, 263]","[665, 309, 397, 416, 793, 653, 283, 604]","[747, 479, 517, 610, 750, 711, 413, 424]"
148,"[572, 739, 720, 741, 599, 520, 612, 173]","[597, 361, 561, 739, 126, 720, 598, 677]","[370, 47, 256, 524, 629, 594, 727, 440]","[569, 629, 277, 192, 11, 21, 184, 534]","[361, 24, 522, 513, 220, 487, 349, 515]","[416, 397, 653, 628, 784, 604, 459, 19]","[479, 560, 708, 517, 763, 413, 66, 610]"
149,"[572, 739, 720, 741, 225, 773, 257, 62]","[506, 361, 740, 567, 597, 333, 682, 715]","[207, 226, 570, 540, 303, 579, 478, 250]","[569, 15, 13, 12, 26, 27, 37, 7]","[323, 24, 515, 513, 538, 361, 444, 473]","[309, 196, 216, 389, 334, 210, 40, 653]","[479, 763, 708, 413, 560, 100, 648, 517]"
150,"[741, 572, 739, 773, 166, 573, 722, 454]","[506, 740, 739, 412, 622, 701, 754, 435]","[590, 567, 570, 540, 340, 441, 478, 407]","[569, 12, 107, 221, 135, 479, 237, 394]","[512, 420, 513, 361, 171, 56, 334, 81]","[389, 309, 653, 604, 643, 628, 559, 567]","[610, 645, 527, 442, 538, 657, 708, 711]"
151,"[741, 572, 213, 739, 591, 573, 469, 508]","[506, 561, 567, 47, 622, 672, 639, 651]","[769, 746, 570, 704, 642, 692, 466, 534]","[569, 12, 394, 107, 162, 3, 232, 21]","[513, 512, 420, 361, 466, 56, 480, 105]","[389, 604, 309, 628, 653, 643, 435, 729]","[517, 521, 610, 471, 708, 413, 88, 657]"
152,"[430, 741, 371, 305, 739, 697, 620, 773]","[506, 739, 416, 160, 619, 722, 126, 398]","[513, 306, 341, 695, 125, 16, 53, 655]","[569, 482, 491, 445, 669, 338, 252, 247]","[512, 420, 466, 361, 17, 108, 56, 473]","[389, 419, 643, 281, 628, 771, 604, 784]","[708, 643, 610, 471, 521, 674, 764, 424]"
153,"[741, 591, 305, 648, 497, 557, 740, 612]","[700, 428, 741, 646, 663, 561, 690, 506]","[616, 213, 341, 695, 351, 462, 53, 303]","[507, 346, 583, 21, 454, 561, 513, 385]","[420, 56, 473, 466, 561, 361, 450, 239]","[435, 104, 150, 361, 21, 591, 444, 344]","[708, 764, 610, 521, 643, 752, 415, 390]"
154,"[741, 511, 305, 722, 142, 66, 152, 28]","[663, 704, 708, 700, 622, 435, 348, 726]","[717, 426, 385, 457, 109, 494, 216, 180]","[158, 507, 459, 108, 477, 638, 285, 652]","[420, 149, 374, 213, 403, 56, 361, 561]","[660, 591, 568, 435, 166, 604, 303, 69]","[674, 708, 536, 498, 529, 136, 764, 610]"
